id,failure
26570,0.4235
26571,0.3532
26572,0.4282
26573,0.3274
26574,0.7727
26575,0.3858
26576,0.2739
26577,0.5458
26578,0.2397
26579,0.3668
26580,0.302
26581,0.475
26582,0.4872
26583,0.4504
26584,0.5453
26585,0.3324
26586,0.3932
26587,0.3084
26588,0.4609
26589,0.3565
26590,0.2817
26591,0.57
26592,0.5172
26593,0.3916
26594,0.3822
26595,0.4321
26596,0.5309
26597,0.3859
26598,0.6453
26599,0.1932
26600,0.4134
26601,0.5442
26602,0.6745
26603,0.4741
26604,0.363
26605,0.3824
26606,0.2013
26607,0.3152
26608,0.2205
26609,0.5586
26610,0.3447
26611,0.3768
26612,0.1592
26613,0.4713
26614,0.3243
26615,0.4527
26616,0.3865
26617,0.2371
26618,0.782
26619,0.2888
26620,0.2776
26621,0.4
26622,0.4219
26623,0.4231
26624,0.3972
26625,0.4789
26626,0.3058
26627,0.7427
26628,0.2634
26629,0.6549
26630,0.4555
26631,0.5245
26632,0.4675
26633,0.3597
26634,0.5356
26635,0.5798
26636,0.8
26637,0.4265
26638,0.7458
26639,0.1767
26640,0.4099
26641,0.4329
26642,0.5779
26643,0.5342
26644,0.4124
26645,0.4648
26646,0.5548
26647,0.4491
26648,0.4714
26649,0.4949
26650,0.4751
26651,0.4402
26652,0.5527
26653,0.4001
26654,0.603
26655,0.5563
26656,0.4384
26657,0.4242
26658,0.5465
26659,0.4135
26660,0.417
26661,0.3607
26662,0.3057
26663,0.6034
26664,0.3246
26665,0.4103
26666,0.2977
26667,0.4572
26668,0.4411
26669,0.2328
26670,0.367
26671,0.3485
26672,0.4314
26673,0.3589
26674,0.2967
26675,0.3318
26676,0.3297
26677,0.6816
26678,0.4396
26679,0.4589
26680,0.3962
26681,0.7549
26682,0.3284
26683,0.716
26684,0.5611
26685,0.3395
26686,0.4542
26687,0.5524
26688,0.6175
26689,0.5566
26690,0.3791
26691,0.4415
26692,0.5824
26693,0.3892
26694,0.1696
26695,0.6582
26696,0.537
26697,0.3804
26698,0.5078
26699,0.2621
26700,0.4441
26701,0.4126
26702,0.5535
26703,0.447
26704,0.3554
26705,0.4855
26706,0.5534
26707,0.5213
26708,0.5254
26709,0.0981
26710,0.5332
26711,0.4864
26712,0.4436
26713,0.6938
26714,0.6268
26715,0.5109
26716,0.4834
26717,0.3346
26718,0.4797
26719,0.4256
26720,0.427
26721,0.2737
26722,0.7094
26723,0.3892
26724,0.4899
26725,0.2856
26726,0.3409
26727,0.3526
26728,0.4172
26729,0.4443
26730,0.4957
26731,0.6031
26732,0.3726
26733,0.4446
26734,0.4401
26735,0.5836
26736,0.414
26737,0.4135
26738,0.4959
26739,0.7746
26740,0.47
26741,0.6565
26742,0.4651
26743,0.5203
26744,0.4742
26745,0.5594
26746,0.2996
26747,0.443
26748,0.342
26749,0.5161
26750,0.3527
26751,0.4845
26752,0.5507
26753,0.3786
26754,0.5276
26755,0.3136
26756,0.2742
26757,0.5504
26758,0.6035
26759,0.5146
26760,0.6382
26761,0.344
26762,0.3035
26763,0.3624
26764,0.3271
26765,0.3852
26766,0.213
26767,0.3604
26768,0.466
26769,0.1828
26770,0.6316
26771,0.5147
26772,0.3288
26773,0.4319
26774,0.7147
26775,0.4475
26776,0.2268
26777,0.3242
26778,0.4281
26779,0.5988
26780,0.4596
26781,0.5116
26782,0.5852
26783,0.6749
26784,0.3839
26785,0.4686
26786,0.2634
26787,0.0849
26788,0.5284
26789,0.6263
26790,0.3785
26791,0.5015
26792,0.5534
26793,0.624
26794,0.4265
26795,0.427
26796,0.571
26797,0.4396
26798,0.4519
26799,0.5634
26800,0.5446
26801,0.4937
26802,0.4799
26803,0.4272
26804,0.4983
26805,0.5119
26806,0.6329
26807,0.5501
26808,0.4824
26809,0.6365
26810,0.4433
26811,0.4425
26812,0.3694
26813,0.4991
26814,0.6056
26815,0.4562
26816,0.5315
26817,0.5021
26818,0.3366
26819,0.3852
26820,0.2572
26821,0.3334
26822,0.5715
26823,0.3872
26824,0.5058
26825,0.5806
26826,0.3271
26827,0.4635
26828,0.6668
26829,0.2942
26830,0.4414
26831,0.3438
26832,0.3888
26833,0.475
26834,0.7622
26835,0.3652
26836,0.4911
26837,0.5224
26838,0.3646
26839,0.5012
26840,0.4486
26841,0.3714
26842,0.6685
26843,0.6371
26844,0.6586
26845,0.2338
26846,0.7033
26847,0.4685
26848,0.3085
26849,0.4275
26850,0.4705
26851,0.4058
26852,0.4644
26853,0.3406
26854,0.7155
26855,0.5187
26856,0.6816
26857,0.4082
26858,0.4734
26859,0.3505
26860,0.53
26861,0.4008
26862,0.4422
26863,0.3306
26864,0.5365
26865,0.2044
26866,0.5368
26867,0.4614
26868,0.5232
26869,0.6737
26870,0.3185
26871,0.4894
26872,0.4523
26873,0.3907
26874,0.3387
26875,0.2015
26876,0.4407
26877,0.5455
26878,0.7125
26879,0.3609
26880,0.4161
26881,0.5127
26882,0.4064
26883,0.4347
26884,0.5581
26885,0.5603
26886,0.4123
26887,0.4567
26888,0.2744
26889,0.4179
26890,0.4531
26891,0.1588
26892,0.3681
26893,0.3515
26894,0.6256
26895,0.6604
26896,0.648
26897,0.2903
26898,0.344
26899,0.366
26900,0.1885
26901,0.4621
26902,0.404
26903,0.4006
26904,0.4137
26905,0.6099
26906,0.5243
26907,0.4202
26908,0.5635
26909,0.6494
26910,0.5149
26911,0.4204
26912,0.2984
26913,0.5415
26914,0.2545
26915,0.4773
26916,0.2862
26917,0.6033
26918,0.5301
26919,0.6028
26920,0.5214
26921,0.2287
26922,0.5898
26923,0.6771
26924,0.3046
26925,0.1746
26926,0.5904
26927,0.6429
26928,0.5125
26929,0.5786
26930,0.5532
26931,0.4323
26932,0.2831
26933,0.383
26934,0.3748
26935,0.2603
26936,0.387
26937,0.4025
26938,0.4244
26939,0.5607
26940,0.2454
26941,0.2843
26942,0.5458
26943,0.424
26944,0.4015
26945,0.7001
26946,0.6306
26947,0.3589
26948,0.0924
26949,0.5027
26950,0.3566
26951,0.4317
26952,0.5303
26953,0.5782
26954,0.5061
26955,0.3436
26956,0.3968
26957,0.5098
26958,0.3459
26959,0.5344
26960,0.3708
26961,0.4731
26962,0.498
26963,0.5882
26964,0.3329
26965,0.3919
26966,0.6195
26967,0.5164
26968,0.3888
26969,0.6708
26970,0.7242
26971,0.5986
26972,0.4505
26973,0.4022
26974,0.5483
26975,0.3767
26976,0.3266
26977,0.5293
26978,0.7216
26979,0.1163
26980,0.6006
26981,0.2469
26982,0.5188
26983,0.5841
26984,0.4079
